page_id,thread,user_id,is_attacker,is_target
63917.0,20,22271725.0,0,1
63925.0,14,18776.0,0,1
63925.0,14,12107077.0,1,0
63925.0,14,8520318.0,1,0
63925.0,14,6999039.0,0,1
63931.0,14,889851.0,1,0
63931.0,14,2663551.0,0,1
63970.0,2,14462949.0,1,0
64310.0,7,5490874.0,1,0
64310.0,7,22665218.0,0,1
65348.0,7,21266917.0,1,0
65717.0,0,3065507.0,0,1
65717.0,0,18171143.0,0,1
65717.0,0,14177768.0,0,1
65717.0,0,728168.0,0,1
65717.0,0,14412684.0,1,0
65717.0,0,11083181.0,0,1
65717.0,0,18525550.0,0,1
65717.0,0,7800014.0,0,1
65717.0,0,11363831.0,0,1
65717.0,0,12731997.0,0,1
65717.0,0,953247.0,0,1
66571.0,1,3799777.0,0,1
66571.0,1,3969442.0,0,1
66571.0,1,1414762.0,0,1
66571.0,1,3127387.0,0,1
66571.0,1,10148464.0,1,0
66571.0,1,46555.0,0,1
66571.0,1,10408318.0,0,1
66571.0,7,834113.0,0,1
66571.0,7,3969442.0,1,0
66571.0,7,509411.0,0,1
66571.0,7,61960.0,0,1
66571.0,7,12949512.0,0,1
66571.0,7,155722.0,0,1
66571.0,7,1414762.0,0,1
66571.0,7,21169899.0,0,1
66571.0,7,4656953.0,0,1
66571.0,7,17428571.0,0,1
67664.0,16,8395.0,1,0
68235.0,1,4709.0,1,0
68235.0,1,4293477.0,0,1
68235.0,1,421630.0,0,1
68235.0,1,6196082.0,0,1
68235.0,1,1938168.0,0,1
68235.0,1,196446.0,0,1
68235.0,5,409043.0,1,0
68235.0,5,23440276.0,0,1
70094.0,4,20487678.0,1,0
70094.0,4,95727.0,0,1
70404.0,4,2051880.0,0,1
70404.0,4,11857666.0,0,1
70404.0,4,13897726.0,1,0
70731.0,3,2266907.0,1,0
71723.0,2,5129216.0,1,0
71723.0,2,13211778.0,0,1
71723.0,2,577284.0,0,1
75059.0,2,11112747.0,0,1
75059.0,2,10558628.0,1,0
75059.0,2,409043.0,0,1
75492.0,7,664832.0,0,1
75492.0,7,5318500.0,0,1
75492.0,7,219819.0,1,0
75492.0,7,16017283.0,1,0
76112.0,2,998182.0,0,1
76112.0,2,20462054.0,1,0
76295.0,17,1584310.0,1,0
76295.0,19,15690513.0,0,1
76295.0,19,17763227.0,0,1
76295.0,19,12865411.0,0,1
76295.0,19,3160007.0,1,0
77265.0,10,8978739.0,0,1
